"","CustomerID","freq","Total_Sales","Total_Quantity","Country","Classification"
"3479",17090,63,2043.95,921,"United Kingdom","Lead"
"824",13450,71,2043.72,1982,"United Kingdom","Lead"
"1222",14001,39,2043.08,962,"United Kingdom","Lead"
"138",12518,123,2040.29,1314,"Germany","Lead"
"192",12585,87,2040.1,1279,"Germany","Lead"
"932",13593,128,2037.08,731,"United Kingdom","Lead"
"4178",18069,470,2036.67,1311,"United Kingdom","Lead"
"4015",17846,1,2033.1,1,"United Kingdom","Lead"
"954",13630,71,2031.78,1391,"United Kingdom","Lead"
"3846",17612,133,2028.55,1806,"United Kingdom","Lead"
"3641",17337,543,2027.87,1269,"United Kingdom","Lead"
"2943",16358,109,2027.5,1302,"United Kingdom","Lead"
"1620",14544,114,2024.45,1543,"United Kingdom","Lead"
"2199",15341,17,2020.52,812,"United Kingdom","Lead"
"1589",14506,316,2012.17,730,"United Kingdom","Lead"
"2342",15531,228,2007.44,1105,"United Kingdom","Lead"
"2223",15372,27,2007.4,2924,"United Kingdom","Lead"
"2750",16098,67,2005.63,613,"United Kingdom","Lead"
"1553",14462,240,2004.02,964,"United Kingdom","Lead"
"2983",16409,231,2003.88,1286,"United Kingdom","Lead"
"3473",17082,81,2003.85,1049,"United Kingdom","Lead"
"3232",16754,2,2002.4,4280,"United Kingdom","Lead"
"2311",15493,297,2001.8,560,"United Kingdom","Lead"
"4266",18188,71,2001.04,1168,"United Kingdom","Lead"
"723",13305,81,2000.86,1232,"United Kingdom","Lead"
"3188",16698,5,1998,840,"United Kingdom","Lead"
"1752",14730,497,1996.31000000001,1125,"United Kingdom","Lead"
"4278",18204,200,1993.7,1200,"United Kingdom","Lead"
"3900",17679,30,1992.11,729,"United Kingdom","Lead"
"3478",17088,115,1991.01,868,"United Kingdom","Lead"
"4001",17827,219,1989.21,1242,"United Kingdom","Lead"
"680",13246,141,1987.3,1602,"United Kingdom","Lead"
"929",13590,87,1981.92,1848,"United Kingdom","Lead"
"1022",13725,104,1980.56,806,"United Kingdom","Lead"
"3709",17422,117,1979.37,2253,"United Kingdom","Lead"
"1377",14217,99,1975.28,683,"United Kingdom","Lead"
"2928",16341,77,1971.87,1398,"United Kingdom","Lead"
"4131",17997,166,1970.67,2298,"United Kingdom","Lead"
"3982",17790,190,1965.55,836,"United Kingdom","Lead"
"3562",17218,274,1960.72,958,"United Kingdom","Lead"
"2209",15351,225,1960.11,753,"United Kingdom","Lead"
"1581",14498,193,1957.32,1098,"United Kingdom","Lead"
"401",12853,78,1957.1,800,"United Kingdom","Lead"
"3806",17554,88,1952.45,1763,"United Kingdom","Lead"
"1609",14533,62,1949.72,4019,"United Kingdom","Lead"
"2554",15814,72,1945.33,1271,"United Kingdom","Lead"
"1519",14418,124,1937.25,1711,"United Kingdom","Lead"
"1559",14472,281,1936.84,1160,"United Kingdom","Lead"
"2592",15864,20,1936.32,1192,"United Kingdom","Lead"
"2063",15157,125,1936.07,2392,"United Kingdom","Lead"
"147",12528,92,1933.48,756,"Germany","Lead"
"1697",14655,49,1932.23,1089,"United Kingdom","Lead"
"1927",14978,216,1931.42,525,"United Kingdom","Lead"
"568",13094,24,1927.32,1716,"United Kingdom","Lead"
"1696",14653,236,1922.55,930,"United Kingdom","Lead"
"3373",16942,281,1920.59,811,"United Kingdom","Lead"
"3402",16983,147,1914.3,1378,"United Kingdom","Lead"
"3667",17368,111,1912.67,1391,"United Kingdom","Lead"
"1425",14285,27,1910.01,541,"United Kingdom","Lead"
"2996",16426,372,1908.25,1243,"United Kingdom","Lead"
"3570",17228,208,1906.09,1532,"United Kingdom","Lead"
"1371",14210,102,1905.84,760,"United Kingdom","Lead"
"2556",15819,123,1905.45,1357,"United Kingdom","Lead"
"1405",14250,111,1904.05,1200,"United Kingdom","Lead"
"338",12762,69,1898.52,1227,"Portugal","Lead"
"4035",17870,279,1894.35,1401,"United Kingdom","Lead"
"1895",14934,87,1890.94,1042,"Channel Islands","Lead"
"22",12371,63,1887.96,591,"Switzerland","Lead"
"2422",15641,119,1887.2,1562,"United Kingdom","Lead"
"2807",16170,125,1885.05,1770,"United Kingdom","Lead"
"1145",13890,110,1883.81,831,"United Kingdom","Lead"
"3742",17463,214,1881.41,1083,"United Kingdom","Lead"
"268",12674,82,1880.9,1127,"France","Lead"
"2330",15518,212,1880.45,1253,"United Kingdom","Lead"
"2777",16128,89,1880.22,988,"United Kingdom","Lead"
"3947",17738,97,1879.05,1029,"United Kingdom","Lead"
"2220",15367,95,1877.59,1057,"United Kingdom","Lead"
"3615",17293,135,1875.11,1140,"United Kingdom","Lead"
"1950",15021,469,1875.02,843,"United Kingdom","Lead"
"3405",16986,3,1873.2,1040,"United Kingdom","Lead"
"1207",13982,111,1871.81,1136,"United Kingdom","Lead"
"3302",16841,116,1869.82,2250,"United Kingdom","Lead"
"1602",14524,203,1867.68,676,"United Kingdom","Lead"
"3979",17787,134,1865.19,910,"United Kingdom","Lead"
"3032",16474,359,1864,937,"United Kingdom","Lead"
"2831",16201,111,1863.47,1286,"United Kingdom","Lead"
"1862",14887,6,1862,1100,"United Kingdom","Lead"
"4037",17873,44,1859.16,1047,"United Kingdom","Lead"
"476",12963,95,1856.63,881,"United Kingdom","Lead"
"3399",16979,89,1852,865,"United Kingdom","Lead"
"806",13421,104,1851.08,1181,"United Kingdom","Lead"
"32",12383,99,1850.56,1532,"Belgium","Lead"
"3780",17519,82,1844.02,1236,"United Kingdom","Lead"
"1441",14305,104,1843.96,1077,"United Kingdom","Lead"
"468",12950,23,1843,1380,"United Kingdom","Lead"
"3423",17015,217,1842.56,1981,"United Kingdom","Lead"
"62",12423,124,1842.36,1338,"Belgium","Lead"
"2753",16102,57,1842.14,942,"United Kingdom","Lead"
"3017",16455,99,1841.18,988,"United Kingdom","Lead"
"3746",17469,87,1840.97,763,"United Kingdom","Lead"
"1305",14113,34,1840.42,745,"United Kingdom","Lead"
"1376",14216,59,1839.3,594,"United Kingdom","Lead"
"1164",13924,117,1838.85,1575,"United Kingdom","Lead"
"1550",14459,37,1837.92,760,"United Kingdom","Lead"
"4339",18287,70,1837.28,1586,"United Kingdom","Lead"
"969",13650,96,1836.34,922,"United Kingdom","Lead"
"2563",15827,115,1836.09,882,"United Kingdom","Lead"
"536",13048,136,1835.91,1238,"United Kingdom","Lead"
"1706",14665,90,1835.7,740,"United Kingdom","Lead"
"31",12381,86,1830.31,796,"Norway","Lead"
"2795",16152,29,1829.04,642,"United Kingdom","Lead"
"4261",18180,118,1828.75,1709,"United Kingdom","Lead"
"2094",15203,142,1827.8,1753,"United Kingdom","Lead"
"3917",17702,74,1824.37,1353,"United Kingdom","Lead"
"2796",16153,89,1824.23,1073,"United Kingdom","Lead"
"3920",17705,103,1823.52,963,"United Kingdom","Lead"
"2806",16169,85,1822.97,1325,"United Kingdom","Lead"
"4219",18122,363,1821.26,1233,"United Kingdom","Lead"
"4002",17828,67,1820.09,667,"Malta","Lead"
"2141",15260,77,1810.77,885,"United Kingdom","Lead"
"3885",17663,86,1802.91,797,"United Kingdom","Lead"
"2552",15812,41,1801.14,922,"United Kingdom","Lead"
"2870",16249,69,1800.07,950,"United Kingdom","Lead"
"908",13562,82,1799.33,757,"United Kingdom","Lead"
"3954",17750,193,1797.57,3957,"United Kingdom","Lead"
"3873",17648,91,1797.5,487,"United Kingdom","Lead"
"3",12348,31,1797.24,2341,"Finland","Lead"
"3859",17629,122,1797.17,1628,"United Kingdom","Lead"
"597",13134,98,1793.58,1059,"United Kingdom","Lead"
"873",13510,115,1791.56,1386,"United Kingdom","Lead"
"143",12523,106,1789.77,865,"France","Lead"
"1375",14215,108,1789.72,1358,"United Kingdom","Lead"
"846",13481,108,1789.56,1130,"United Kingdom","Lead"
"1131",13875,104,1786.79,1316,"United Kingdom","Lead"
"1665",14608,20,1785.15,437,"United Kingdom","Lead"
"1896",14935,10,1784.71,935,"Channel Islands","Lead"
"1976",15050,78,1782.09,1224,"United Kingdom","Lead"
"2962",16380,32,1780.59,1524,"United Kingdom","Lead"
"4260",18179,89,1778.17,1348,"United Kingdom","Lead"
"244",12645,73,1775.18,1084,"Germany","Lead"
"3956",17754,92,1772.26,1869,"United Kingdom","Lead"
"2387",15594,103,1771.78,983,"United Kingdom","Lead"
"4304",18235,103,1771.48,1558,"United Kingdom","Lead"
"2299",15473,11,1771.2,672,"United Kingdom","Lead"
"3996",17813,371,1770.88,790,"United Kingdom","Lead"
"1496",14387,140,1770.56,819,"United Kingdom","Lead"
"3204",16719,199,1769.57,1201,"United Kingdom","Lead"
"3481",17092,124,1769.03,1124,"United Kingdom","Lead"
"829",13456,63,1766.72,765,"United Kingdom","Lead"
"2647",15950,98,1765.51,729,"United Kingdom","Lead"
"644",13196,109,1763.88,1222,"United Kingdom","Lead"
"63",12424,30,1760.96,740,"Australia","Lead"
"376",12823,5,1759.5,230,"United Kingdom","Lead"
"4",12349,73,1757.55,631,"Italy","Lead"
"2126",15241,110,1756.44,1818,"United Kingdom","Lead"
"2944",16359,66,1750.92,1183,"United Kingdom","Lead"
"2108",15220,116,1749.26,1387,"United Kingdom","Lead"
"910",13564,83,1749.02,661,"United Kingdom","Lead"
"3229",16751,24,1748.12,1027,"United Kingdom","Lead"
"1990",15067,82,1744.76,954,"United Kingdom","Lead"
"1657",14595,102,1740.6,978,"United Kingdom","Lead"
"4081",17930,39,1740.48,1594,"United Kingdom","Lead"
"3655",17353,8,1740,1200,"United Kingdom","Lead"
"3736",17457,19,1737.7,826,"United Kingdom","Lead"
"1712",14673,74,1736.4,1004,"United Kingdom","Lead"
"1081",13808,75,1732.66,770,"United Kingdom","Lead"
"615",13157,86,1724.62,1435,"United Kingdom","Lead"
"3263",16791,320,1721.78,763,"United Kingdom","Lead"
"3731",17451,100,1721.4,1203,"United Kingdom","Lead"
"1824",14834,67,1720.3,734,"United Kingdom","Lead"
"2148",15267,11,1717.36,944,"United Kingdom","Lead"
"3526",17162,104,1715.46,1001,"United Kingdom","Lead"
"3443",17043,101,1715.28,996,"United Kingdom","Lead"
"1053",13763,15,1714.96,728,"United Kingdom","Lead"
"3516",17147,81,1714.59,882,"United Kingdom","Lead"
"47",12405,54,1710.39,857,"Finland","Lead"
"2644",15947,29,1708.24,898,"United Kingdom","Lead"
"49",12407,77,1708.12,1416,"Belgium","Lead"
"3342",16902,44,1706.88,629,"United Kingdom","Lead"
"2125",15240,78,1706.57,1369,"United Kingdom","Lead"
"2973",16398,82,1705.8,758,"United Kingdom","Lead"
"3607",17282,94,1703.41,1877,"United Kingdom","Lead"
"394",12843,103,1702.26,781,"United Kingdom","Lead"
"1671",14621,89,1701.76,985,"United Kingdom","Lead"
"635",13184,181,1701.29,1692,"United Kingdom","Lead"
"2684",16007,384,1699.39,1392,"United Kingdom","Lead"
"3548",17193,32,1699.3,1254,"United Kingdom","Lead"
"1095",13824,46,1698.94,768,"United Kingdom","Lead"
"340",12764,45,1693.88,386,"Lebanon","Lead"
"1401",14245,108,1693.45,976,"United Kingdom","Lead"
"2354",15549,115,1693.26,698,"United Kingdom","Lead"
"3281",16813,449,1692.98,1525,"United Kingdom","Lead"
"3169",16671,6,1692.27,875,"United Kingdom","Lead"
"2228",15380,36,1690.26,376,"United Kingdom","Lead"
"3518",17152,14,1689.5,517,"United Kingdom","Lead"
"620",13162,79,1688.29,1713,"United Kingdom","Lead"
"921",13577,83,1687.6,791,"United Kingdom","Lead"
"3251",16775,156,1685.76,438,"United Kingdom","Lead"
"1537",14441,50,1682.99,444,"United Kingdom","Lead"
"3145",16638,94,1680.72,1255,"United Kingdom","Lead"
"967",13647,79,1678.12,895,"United Kingdom","Lead"
"611",13149,86,1676.06,1280,"United Kingdom","Lead"
"3881",17656,82,1674.69,1399,"United Kingdom","Lead"
"235",12635,100,1674.18,1160,"Germany","Lead"
"2765",16115,284,1667.97,1001,"United Kingdom","Lead"
"439",12912,24,1662.3,670,"United Kingdom","Lead"
"148",12530,66,1662.28,913,"Germany","Lead"
"510",13012,89,1661.84,824,"United Kingdom","Lead"
"2103",15214,110,1661.44,1254,"United Kingdom","Lead"
"1953",15024,155,1661.33,920,"United Kingdom","Lead"
"2194",15332,35,1661.06,652,"Lithuania","Lead"
"479",12967,19,1660.9,438,"United Kingdom","Lead"
"1253",14045,6,1659.75,535,"United Kingdom","Lead"
"2650",15953,98,1659.38,892,"United Kingdom","Lead"
"1641",14573,235,1653.42,544,"United Kingdom","Lead"
"3196",16711,22,1651.03,833,"United Kingdom","Lead"
"1826",14837,108,1649.5,1436,"United Kingdom","Lead"
"1041",13750,24,1647.26,516,"United Kingdom","Lead"
"255",12657,47,1643.18,1044,"France","Lead"
"3608",17284,291,1642.83,1361,"United Kingdom","Lead"
"1937",15002,115,1641.76,862,"United Kingdom","Lead"
"2562",15826,67,1639.31,951,"United Kingdom","Lead"
"42",12398,85,1635.66,1394,"Switzerland","Lead"
"2035",15122,82,1633.78,800,"United Kingdom","Lead"
"1342",14164,29,1631.77,1033,"United Kingdom","Lead"
"3894",17673,227,1629.12,1487,"United Kingdom","Lead"
"27",12377,77,1628.12,944,"Switzerland","Lead"
"3176",16681,41,1627.34,1363,"United Kingdom","Lead"
"3060",16515,113,1627.13,833,"United Kingdom","Lead"
"3406",16987,129,1625.05,402,"United Kingdom","Lead"
"808",13425,78,1624.21,1123,"United Kingdom","Lead"
"2073",15172,110,1624.05,1611,"United Kingdom","Lead"
"952",13627,91,1623.52,1268,"United Kingdom","Lead"
"1898",14937,34,1621.88,484,"Channel Islands","Lead"
"3487",17101,42,1621.73,815,"United Kingdom","Lead"
"3270",16801,76,1619.73,499,"United Kingdom","Lead"
"1351",14178,326,1617.18,1502,"United Kingdom","Lead"
"1461",14336,90,1614.91,1759,"United Kingdom","Lead"
"3410",16992,93,1614.31,860,"United Kingdom","Lead"
"2534",15791,75,1612.69,731,"United Kingdom","Lead"
"945",13614,201,1610.46,570,"United Kingdom","Lead"
"1886",14918,45,1610.15,675,"United Kingdom","Lead"
"411",12868,107,1607.06,928,"United Kingdom","Lead"
"3284",16817,86,1604.75,822,"United Kingdom","Lead"
"465",12947,97,1603.99,1165,"United Kingdom","Lead"
"4246",18161,79,1603.69,800,"United Kingdom","Lead"
"3026",16466,148,1603.46,789,"United Kingdom","Lead"
"1745",14719,237,1602.13,1032,"United Kingdom","Lead"
"1651",14587,383,1601.14,761,"United Kingdom","Lead"
"2438",15660,90,1600.86,1050,"United Kingdom","Lead"
"1446",14312,86,1596.59,1000,"United Kingdom","Lead"
"1773",14759,100,1595.97,545,"United Kingdom","Lead"
"1112",13850,93,1595.48,944,"United Kingdom","Lead"
"2922",16332,153,1593.2,801,"United Kingdom","Lead"
"1920",14970,34,1592.06,250,"United Kingdom","Lead"
"2402",15611,43,1591.45,504,"United Kingdom","Lead"
"4259",18178,97,1590.81,983,"United Kingdom","Lead"
"1538",14442,63,1589.82,482,"Channel Islands","Lead"
"3047",16496,94,1584.52,1099,"United Kingdom","Lead"
"211",12607,101,1579.51,1228,"USA","Lead"
"3333",16889,135,1578.67,925,"United Kingdom","Lead"
"637",13186,79,1575.89,820,"United Kingdom","Lead"
"977",13659,104,1573.2,894,"United Kingdom","Lead"
"3892",17671,53,1572.71,772,"United Kingdom","Lead"
"3172",16676,88,1572.62,630,"United Kingdom","Lead"
"957",13634,187,1569.26,702,"United Kingdom","Lead"
"4009",17837,167,1568.48,512,"United Kingdom","Lead"
"2892",16283,165,1568.26,1235,"United Kingdom","Lead"
"2025",15111,84,1567.48,710,"United Kingdom","Lead"
"3476",17085,187,1566.65,786,"United Kingdom","Lead"
"38",12393,63,1566,812,"Australia","Lead"
"3554",17204,57,1564.56,646,"United Kingdom","Lead"
"4307",18239,88,1561.61,795,"United Kingdom","Lead"
"1248",14038,92,1560.38,965,"United Kingdom","Lead"
"2971",16394,83,1555.34,2604,"United Kingdom","Lead"
"729",13313,78,1555.32,851,"United Kingdom","Lead"
"2954",16369,118,1553.66,1035,"United Kingdom","Lead"
"408",12865,94,1553.23,913,"Austria","Lead"
"2407",15620,100,1553.18,915,"United Kingdom","Lead"
"2030",15117,79,1551.78,1948,"United Kingdom","Lead"
"1387",14229,40,1547.2,610,"United Kingdom","Lead"
"1734",14704,415,1546.91,1082,"United Kingdom","Lead"
"791",13397,38,1544.13,430,"United Kingdom","Lead"
"2468",15701,237,1542.14,923,"United Kingdom","Lead"
"372",12818,14,1542.08,929,"Austria","Lead"
"3524",17159,101,1538.88,1111,"United Kingdom","Lead"
"1111",13849,101,1537.95,1016,"United Kingdom","Lead"
"417",12877,154,1535.77,1178,"United Kingdom","Lead"
"2236",15392,84,1535.53,1277,"United Kingdom","Lead"
"2412",15625,64,1534.26,1188,"United Kingdom","Lead"
"735",13320,105,1533.7,1084,"United Kingdom","Lead"
"578",13107,58,1531.62,1293,"United Kingdom","Lead"
"1451",14321,123,1530.75,2406,"United Kingdom","Lead"
"1637",14567,33,1530.36,412,"United Kingdom","Lead"
"1087",13814,56,1528.27,861,"Germany","Lead"
"2619",15906,148,1524.59,530,"United Kingdom","Lead"
"2950",16365,50,1523.47,503,"United Kingdom","Lead"
"2866",16244,91,1522.75,855,"United Kingdom","Lead"
"3003",16434,109,1522.25,767,"United Kingdom","Lead"
"2730",16066,102,1521.87,936,"United Kingdom","Lead"
"1054",13764,208,1521.76,932,"United Kingdom","Lead"
"2343",15532,253,1521.23,515,"United Kingdom","Lead"
"655",13213,90,1520.58,1360,"United Kingdom","Lead"
"3326",16880,178,1519.08,753,"United Kingdom","Lead"
"1415",14267,55,1516.24,530,"United Kingdom","Lead"
"1069",13791,11,1516,1200,"United Kingdom","Lead"
"3227",16748,69,1515.9,880,"United Kingdom","Lead"
"3262",16790,91,1515.62,874,"United Kingdom","Lead"
"3349",16910,547,1510.06,886,"United Kingdom","Lead"
"2889",16279,107,1509.58,1054,"United Kingdom","Lead"
"2693",16016,235,1508.76,620,"United Kingdom","Lead"
"2624",15916,153,1508.19,755,"United Kingdom","Lead"
"2146",15265,82,1506.12,612,"United Kingdom","Lead"
"458",12937,119,1501.72,1006,"United Kingdom","Lead"
"3239",16762,89,1501.38,618,"United Kingdom","Lead"
"1083",13810,35,1499.01,312,"Germany","Lead"
"3817",17571,299,1498.51,905,"United Kingdom","Lead"
"1516",14414,97,1496.98,2512,"United Kingdom","Lead"
"2721",16053,83,1496.95,1781,"United Kingdom","Lead"
"3416",17002,49,1493.73,679,"United Kingdom","Lead"
"3233",16755,169,1491.83,1060,"United Kingdom","Lead"
"2341",15530,107,1489.35,946,"United Kingdom","Lead"
"581",13110,145,1488.67,388,"United Kingdom","Lead"
"997",13692,53,1488.32,1226,"United Kingdom","Lead"
"3805",17553,2,1487.6,1048,"United Kingdom","Lead"
"1914",14963,197,1486.55,1175,"United Kingdom","Lead"
"1772",14758,71,1484.06,419,"United Kingdom","Lead"
"2972",16395,209,1483.95,1475,"United Kingdom","Lead"
"2263",15427,306,1483.14,1013,"United Kingdom","Lead"
"337",12759,93,1480.59,899,"Netherlands","Lead"
"1506",14403,20,1475.81,519,"United Kingdom","Lead"
"2668",15983,113,1475.02,892,"United Kingdom","Lead"
"378",12826,91,1474.72,1058,"United Kingdom","Lead"
"1507",14404,103,1474.32,839,"United Kingdom","Lead"
"1402",14246,75,1474.06,804,"United Kingdom","Lead"
"1854",14875,47,1465.32,558,"United Kingdom","Lead"
"4144",18016,121,1463.46,1023,"United Kingdom","Lead"
"421",12882,13,1463.04,246,"United Kingdom","Lead"
"1390",14233,35,1462.72,680,"United Kingdom","Lead"
"3831",17590,200,1462.27,827,"United Kingdom","Lead"
"1617",14541,111,1461.65,647,"United Kingdom","Lead"
"3460",17063,78,1461.14,770,"United Kingdom","Lead"
"2726",16059,180,1459.86,643,"United Kingdom","Lead"
"3411",16996,37,1456.96,544,"United Kingdom","Lead"
"726",13309,107,1456.79,1544,"United Kingdom","Lead"
"844",13477,79,1454.58,1021,"United Kingdom","Lead"
"1981",15057,24,1454.1,656,"United Kingdom","Lead"
"2040",15128,101,1451.5,1337,"United Kingdom","Lead"
"2672",15987,140,1451.28,1556,"United Kingdom","Lead"
"1760",14740,89,1448.21,735,"United Kingdom","Lead"
"2262",15426,292,1447.39,674,"United Kingdom","Lead"
"1653",14591,197,1447.14,1297,"United Kingdom","Lead"
"3466",17073,174,1446.09,759,"United Kingdom","Lead"
"1015",13717,102,1445.01,1959,"United Kingdom","Lead"
"832",13461,27,1445,1170,"United Kingdom","Lead"
"3536",17175,63,1443.69,866,"United Kingdom","Lead"
"2301",15478,46,1441.42,585,"United Kingdom","Lead"
"1273",14071,323,1438.03,994,"United Kingdom","Lead"
"2587",15858,190,1432.95,1165,"United Kingdom","Lead"
"1636",14566,4,1432,800,"Channel Islands","Lead"
"3052",16503,84,1431.93,569,"United Kingdom","Lead"
"842",13475,86,1431.78,1012,"United Kingdom","Lead"
"1855",14878,122,1430.64,784,"United Kingdom","Lead"
"2754",16103,48,1429.64,558,"United Kingdom","Lead"
"2883",16271,133,1429.24,1038,"United Kingdom","Lead"
"1245",14035,66,1428.02,739,"United Kingdom","Lead"
"2456",15681,53,1426.16,816,"United Kingdom","Lead"
"617",13159,120,1422.85,1047,"United Kingdom","Lead"
"2020",15106,100,1422.52,1181,"United Kingdom","Lead"
"3024",16463,82,1422.4,1163,"United Kingdom","Lead"
"3099",16571,87,1421.69,1239,"United Kingdom","Lead"
"1233",14019,66,1421.61,1037,"United Kingdom","Lead"
"1873",14901,96,1421.29,661,"United Kingdom","Lead"
"1539",14443,93,1420.2,938,"United Kingdom","Lead"
"3611",17288,142,1419.73,1203,"United Kingdom","Lead"
"2934",16348,232,1418.6,816,"United Kingdom","Lead"
"2810",16173,84,1418.32,575,"United Kingdom","Lead"
"2276",15444,219,1418.26,764,"United Kingdom","Lead"
"4022",17856,15,1418.03,842,"United Kingdom","Lead"
"1693",14649,199,1417.29,1018,"United Kingdom","Lead"
"1765",14748,89,1415.75,1223,"United Kingdom","Lead"
"2689",16012,94,1415.29,799,"United Kingdom","Lead"
"2867",16245,90,1413.66,1014,"United Kingdom","Lead"
"4213",18116,376,1412.93,846,"United Kingdom","Lead"
"2122",15237,99,1412.32,1071,"United Kingdom","Lead"
"3417",17004,43,1410.44,817,"United Kingdom","Lead"
"2388",15596,77,1406.59,561,"United Kingdom","Lead"
"3474",17083,52,1405.78,772,"United Kingdom","Lead"
"2365",15563,113,1400.44,1501,"United Kingdom","Lead"
"1761",14741,59,1400.34,841,"United Kingdom","Lead"
"4276",18202,68,1396.99,581,"United Kingdom","Lead"
"1219",13995,86,1393.69,879,"United Kingdom","Lead"
"3656",17354,16,1393.06,1006,"United Kingdom","Lead"
"800",13414,24,1390.5,1574,"United Kingdom","Lead"
"878",13516,44,1389.41,985,"United Kingdom","Lead"
"3077",16539,45,1388.81,477,"United Kingdom","Lead"
"2283",15453,286,1388.37,845,"United Kingdom","Lead"
"2045",15134,73,1387.99,887,"United Kingdom","Lead"
"470",12952,79,1387.79,653,"United Kingdom","Lead"
"3897",17676,78,1387.68,932,"United Kingdom","Lead"
"345",12775,66,1386.04,877,"Netherlands","Lead"
"725",13308,54,1385.51,843,"United Kingdom","Lead"
"4249",18167,37,1384.86,382,"United Kingdom","Lead"
"3625",17311,55,1384.85,1005,"United Kingdom","Lead"
"917",13572,33,1384.25,534,"United Kingdom","Lead"
"1590",14507,96,1383.18,600,"United Kingdom","Lead"
"1307",14116,72,1382.74,707,"United Kingdom","Lead"
"2968",16389,34,1382.07,1242,"United Kingdom","Lead"
"3854",17621,26,1379.9,514,"United Kingdom","Lead"
"425",12886,82,1378.4,770,"United Kingdom","Lead"
"2369",15569,31,1375.71,666,"United Kingdom","Lead"
"2550",15810,88,1375.03,860,"United Kingdom","Lead"
"1531",14434,12,1372.8,368,"United Kingdom","Lead"
"2010",15095,47,1370.6,1079,"United Kingdom","Lead"
"1086",13813,69,1366.86,552,"Germany","Lead"
"3167",16669,159,1366.57,886,"United Kingdom","Lead"
"1871",14897,55,1366.38,468,"United Kingdom","Lead"
"1977",15051,141,1364.11,989,"United Kingdom","Lead"
"790",13396,43,1360.99,600,"United Kingdom","Lead"
"1296",14102,79,1360.28,961,"United Kingdom","Lead"
"2251",15411,99,1358.88,530,"United Kingdom","Lead"
"669",13232,207,1357.6,778,"United Kingdom","Lead"
"3454",17054,83,1356.33,804,"United Kingdom","Lead"
"1841",14859,58,1353.74,671,"United Kingdom","Lead"
"2029",15116,45,1352.75,648,"United Kingdom","Lead"
"2737",16079,21,1352,864,"United Kingdom","Lead"
"3044",16493,56,1351.63,1164,"United Kingdom","Lead"
"343",12770,12,1351.45,743,"Japan","Lead"
"1269",14064,79,1348.79,1787,"United Kingdom","Lead"
"245",12646,45,1346.97,897,"USA","Lead"
"97",12463,83,1344.78,776,"Belgium","Lead"
"3670",17372,253,1342.68,749,"United Kingdom","Lead"
"1036",13743,41,1341.6,1776,"United Kingdom","Lead"
"4258",18177,74,1341.42,710,"United Kingdom","Lead"
"2716",16045,83,1340.7,897,"United Kingdom","Lead"
"864",13501,52,1340.32,560,"Switzerland","Lead"
"2493",15734,26,1339.45,346,"United Kingdom","Lead"
"223",12620,92,1339.41,1181,"France","Lead"
"3210",16726,182,1337.77,962,"United Kingdom","Lead"
"1983",15059,237,1337.72,604,"United Kingdom","Lead"
"2761",16110,354,1337.48,733,"United Kingdom","Lead"
"444",12919,50,1335.19,673,"United Kingdom","Lead"
"2455",15680,78,1333.68,952,"United Kingdom","Lead"
"4083",17932,90,1331.57,789,"United Kingdom","Lead"
"269",12676,45,1331.39,670,"Sweden","Lead"
"2897",16295,79,1328.55,841,"United Kingdom","Lead"
"2054",15146,91,1327.16,1473,"United Kingdom","Lead"
"3862",17633,70,1324.84,644,"United Kingdom","Lead"
"3483",17095,74,1324.16,618,"United Kingdom","Lead"
"2910",16317,68,1323.95,884,"United Kingdom","Lead"
"2955",16370,228,1320.56,647,"United Kingdom","Lead"
"1797",14794,80,1319.91,673,"United Kingdom","Lead"
"2740",16083,31,1317.62,908,"United Kingdom","Lead"
"145",12526,71,1316.66,632,"Germany","Lead"
"1888",14921,78,1316.07,953,"United Kingdom","Lead"
"183",12576,88,1315.83,967,"Poland","Lead"
"2242",15398,72,1315.83,763,"United Kingdom","Lead"
"1592",14511,68,1314.81,784,"United Kingdom","Lead"
"3025",16464,236,1314.68,963,"United Kingdom","Lead"
"1923",14973,32,1314.45,369,"United Kingdom","Lead"
"1758",14738,54,1314.45,601,"United Kingdom","Lead"
"2712",16040,65,1313.55,684,"United Kingdom","Lead"
"18",12364,85,1313.1,1506,"Belgium","Lead"
"136",12516,26,1312.06,875,"Germany","Lead"
"1564",14477,10,1309.6,720,"United Kingdom","Lead"
"2769",16120,30,1309.14,878,"United Kingdom","Lead"
"1255",14047,32,1308.61,381,"United Kingdom","Lead"
"742",13328,17,1308.48,680,"United Kingdom","Lead"
"1435",14297,62,1305.33,865,"United Kingdom","Lead"
"128",12507,22,1304.81,905,"Spain","Lead"
"402",12854,109,1304.6,625,"United Kingdom","Lead"
"624",13168,130,1304.19,670,"United Kingdom","Lead"
"4072",17919,23,1304.04,756,"United Kingdom","Lead"
"2553",15813,40,1303.91,603,"United Kingdom","Lead"
"1872",14898,116,1303.52,1020,"United Kingdom","Lead"
"3223",16744,241,1302.26,803,"United Kingdom","Lead"
"2022",15108,60,1300.25,499,"European Community","Lead"
"2312",15494,125,1299.23,1148,"United Kingdom","Lead"
"23",12372,52,1298.04,794,"Denmark","Lead"
"2393",15602,47,1297.87,1141,"United Kingdom","Lead"
"4104",17961,249,1296.44,560,"United Kingdom","Lead"
"3364",16929,77,1295.39,929,"United Kingdom","Lead"
"2851",16224,96,1295.3,1116,"United Kingdom","Lead"
